Generated by TimeView III
Date:;Mon May 17 16:13:18 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

538.51; 250012595.750429;
539.51; 250012595.750587;
540.51; 250012595.749016;
541.51; 250012595.748526;
542.52; 250012595.74833;
543.52; 250012595.749691;
544.52; 250012595.750995;
545.52; 250012595.750514;
546.52; 250012595.747843;
547.52; 250012595.752014;
548.52; 250012595.74948;
549.52; 250012595.749578;
550.52; 250012595.749547;
551.52; 250012595.749885;
552.53; 250012595.749538;
553.53; 250012595.748384;
554.53; 250012595.748998;
555.53; 250012595.75265;
556.53; 250012595.749241;
557.53; 250012595.750747;
558.53; 250012595.750642;
559.53; 250012595.749822;
560.53; 250012595.749827;
561.54; 250012595.750804;
562.54; 250012595.750674;
563.54; 250012595.748856;
564.54; 250012595.749054;
565.54; 250012595.750268;
566.54; 250012595.749312;
567.54; 250012595.751577;
568.54; 250012595.748421;
569.54; 250012595.749715;
570.54; 250012595.750738;
571.54; 250012595.750684;
572.55; 250012595.751661;
573.55; 250012595.74852;
574.55; 250012595.750645;
575.55; 250012595.74867;
576.55; 250012595.751922;
577.55; 250012595.75102;
578.55; 250012595.751278;
579.55; 250012595.74999;
580.55; 250012595.748992;
581.55; 250012595.750208;
582.56; 250012595.747571;
583.56; 250012595.751087;
584.56; 250012595.750333;
585.56; 250012595.751198;
586.56; 250012595.75063;
587.56; 250012595.749647;
588.56; 250012595.750489;
589.56; 250012595.750703;
590.56; 250012595.752084;
591.57; 250012595.750137;
592.57; 250012595.750069;
593.57; 250012595.749918;
594.57; 250012595.74971;
595.57; 250012595.749389;
596.57; 250012595.750064;
597.57; 250012595.751349;
598.57; 250012595.749554;
599.57; 250012595.752791;
600.57; 250012595.747758;
601.57; 250012595.751032;
602.58; 250012595.751406;
603.58; 250012595.751264;
604.58; 250012595.749385;
605.58; 250012595.748085;
606.58; 250012595.750244;
607.58; 250012595.750609;
608.58; 250012595.751546;
609.58; 250012595.749031;
610.58; 250012595.751694;
611.58; 250012595.749925;
612.59; 250012595.749085;
613.59; 250012595.749162;
614.59; 250012595.749653;
615.59; 250012595.747537;
616.59; 250012595.749207;
617.59; 250012595.749374;
618.59; 250012595.748395;
619.59; 250012595.750389;
620.59; 250012595.749864;
621.59; 250012595.749162;
622.6; 250012595.748821;
623.6; 250012595.748916;
624.6; 250012595.749158;
625.6; 250012595.75066;
626.6; 250012595.750194;
627.6; 250012595.748725;
628.6; 250012595.751359;
629.6; 250012595.748881;
630.6; 250012595.750423;
631.6; 250012595.749759;
632.61; 250012595.748226;
633.61; 250012595.7504;
634.61; 250012595.750846;
635.61; 250012595.750456;
636.61; 250012595.750215;
637.61; 250012595.750615;
638.61; 250012595.751268;
639.61; 250012595.748665;
640.61; 250012595.751022;
641.61; 250012595.752149;
642.62; 250012595.749223;
643.62; 250012595.748577;
644.62; 250012595.75021;
645.62; 250012595.751212;
646.62; 250012595.748215;
647.62; 250012595.75015;
648.62; 250012595.748419;
649.62; 250012595.750116;
650.62; 250012595.751667;
651.62; 250012595.748326;
652.63; 250012595.751862;
653.63; 250012595.746998;
654.63; 250012595.74848;
655.63; 250012595.749051;
656.63; 250012595.751492;
657.63; 250012595.748952;
658.63; 250012595.752042;
659.63; 250012595.749957;
660.63; 250012595.751031;
661.63; 250012595.750181;
662.64; 250012595.749694;
663.64; 250012595.750708;
664.64; 250012595.750596;
665.64; 250012595.75018;
666.64; 250012595.750109;
667.64; 250012595.752473;
668.64; 250012595.751086;
669.64; 250012595.749102;
670.64; 250012595.751548;
671.64; 250012595.751632;
672.64; 250012595.749747;
673.65; 250012595.750341;
674.65; 250012595.751796;
675.65; 250012595.750282;
676.65; 250012595.749984;
677.65; 250012595.749904;
678.65; 250012595.750834;
679.65; 250012595.749165;
680.65; 250012595.749696;
681.65; 250012595.749452;
682.65; 250012595.749073;
683.66; 250012595.751414;
684.66; 250012595.748961;
685.66; 250012595.750503;
686.66; 250012595.751993;
687.66; 250012595.749684;
688.66; 250012595.749733;
689.66; 250012595.751511;
690.66; 250012595.749411;
691.66; 250012595.748657;
692.67; 250012595.751134;
693.67; 250012595.752156;
694.67; 250012595.750119;
695.67; 250012595.750415;
696.67; 250012595.750049;
697.67; 250012595.750934;
698.67; 250012595.749002;
699.67; 250012595.753004;
700.67; 250012595.751707;
701.67; 250012595.749421;
702.67; 250012595.750594;
703.68; 250012595.750035;
704.68; 250012595.75092;
705.68; 250012595.749626;
706.68; 250012595.750856;
707.68; 250012595.749163;
708.68; 250012595.749604;
709.68; 250012595.74933;
710.68; 250012595.750881;
711.68; 250012595.748982;
712.69; 250012595.749323;
713.69; 250012595.750464;
714.69; 250012595.749121;
715.69; 250012595.74896;
716.69; 250012595.749436;
717.69; 250012595.752454;
718.69; 250012595.749856;
719.69; 250012595.74942;
720.69; 250012595.749999;
721.69; 250012595.748534;
722.7; 250012595.750482;
723.7; 250012595.750262;
724.7; 250012595.747933;
725.7; 250012595.748939;
