Generated by TimeView III
Date:;Mon May 17 15:22:51 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

260.25; 250012447.500701;
261.25; 250012447.498639;
262.25; 250012447.500451;
263.25; 250012447.500198;
264.25; 250012447.500504;
265.25; 250012447.502301;
266.26; 250012447.499349;
267.26; 250012447.499541;
268.26; 250012447.498718;
269.26; 250012447.501618;
270.26; 250012447.499565;
271.26; 250012447.500049;
272.26; 250012447.49978;
273.26; 250012447.499901;
274.26; 250012447.500983;
275.26; 250012447.50023;
276.26; 250012447.501034;
277.27; 250012447.502382;
278.27; 250012447.499631;
279.27; 250012447.499275;
280.27; 250012447.500809;
281.27; 250012447.498767;
282.27; 250012447.502975;
283.27; 250012447.499074;
284.27; 250012447.498917;
285.28; 250012447.500796;
286.28; 250012447.497813;
287.28; 250012447.500919;
288.28; 250012447.498866;
289.28; 250012447.500225;
290.28; 250012447.499614;
291.28; 250012447.499709;
292.28; 250012447.500691;
293.28; 250012447.501436;
294.28; 250012447.500172;
295.28; 250012447.500711;
296.29; 250012447.502425;
297.29; 250012447.501692;
298.29; 250012447.499986;
299.29; 250012447.501512;
300.29; 250012447.499131;
301.29; 250012447.500511;
302.29; 250012447.502344;
303.29; 250012447.500012;
304.29; 250012447.497077;
305.29; 250012447.499919;
306.29; 250012447.49951;
307.3; 250012447.500137;
308.3; 250012447.502775;
309.3; 250012447.500694;
310.3; 250012447.50048;
311.3; 250012447.502442;
312.3; 250012447.501146;
313.3; 250012447.500671;
314.3; 250012447.501205;
315.3; 250012447.502555;
316.31; 250012447.501199;
317.31; 250012447.499783;
318.31; 250012447.499849;
319.31; 250012447.500645;
320.31; 250012447.498889;
321.31; 250012447.496463;
322.31; 250012447.501431;
323.31; 250012447.499879;
324.31; 250012447.501708;
325.31; 250012447.500663;
326.32; 250012447.498584;
327.32; 250012447.501478;
328.32; 250012447.49903;
329.32; 250012447.50131;
330.32; 250012447.499074;
331.32; 250012447.500409;
332.32; 250012447.499191;
333.32; 250012447.499303;
334.32; 250012447.499056;
335.32; 250012447.500391;
336.33; 250012447.498135;
337.33; 250012447.499014;
338.33; 250012447.499049;
339.33; 250012447.500127;
340.33; 250012447.499668;
341.33; 250012447.498846;
342.33; 250012447.499011;
343.33; 250012447.50078;
344.33; 250012447.501597;
345.33; 250012447.50055;
346.34; 250012447.498378;
347.34; 250012447.500911;
348.34; 250012447.501181;
349.34; 250012447.500142;
350.34; 250012447.499465;
351.34; 250012447.501334;
352.34; 250012447.498633;
353.34; 250012447.500487;
354.34; 250012447.499108;
355.34; 250012447.500297;
